Comment,Description,Designator,Footprint,LibRef,Quantity,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage

"22µF","KON 22µF 6,3V X5R SMD","C1","CAPC1608X90N","25400","1","","","","22u","25400","1608 (0603)","SMT","","X5R","","","6.3V"
"22µF","KON 22µF 6,3V X5R SMD","C2","CAPC1608X90N","25400","1","","","","22u","25400","1608 (0603)","SMT","","X5R","","","6.3V"
"470nF","KON 470nF X5R 6.3V SMD 20%","C3","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"470nF","KON 470nF X5R 6.3V SMD 20%","C4","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"470nF","KON 470nF X5R 6.3V SMD 20%","C5","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"470nF","KON 470nF X5R 6.3V SMD 20%","C6","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"470nF","KON 470nF X5R 6.3V SMD 20%","C7","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C8","CAPC1005X60N","24719","1","","","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3"
"4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C9","CAPC1005X60N","24719","1","","","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3"
"470nF","KON 470nF X5R 6.3V SMD 20%","C10","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"470nF","KON 470nF X5R 6.3V SMD 20%","C11","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"470nF","KON 470nF X5R 6.3V SMD 20%","C12","CAPC0603X33N","24921","1","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V"
"microSD","microSD","CN2","uSD_PCB","microSD_pads","1","","","","","","","","","","","",""
"Chip LED 0603 Infrared","Chip LED 0603 Infrared","D1","chipLED_0603_Red","26721","1","","01","","","26721","0603","SMT","Yes","","","","1.2"
"LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","D2","LEDC1006X25N_RED","24212","1","","01","","","24212","1005 (0402)","SMT","Yes","","","",""
"JST-SM10B-XSRS-ETB","JST 10Pol. 0.6mm RA","J9","JST-SM10B-XSRS-ETB","25616","1","","01","Yes","","25616","","SMT","","","","",""
"0R","WID SMD 0R 0,05W SMD","R1","RESC0603X26N","26259","1","","01","","0","26259","0603 (0201)","SMT","Yes","","","",""
"10K","WID SMD 10K 1% 0,05W","R2","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","SMT","Yes","","1%","",""
"0R","WID SMD 0R 0,05W SMD","R3","RESC0603X26N","26259","1","","01","","0","26259","0603 (0201)","SMT","Yes","","","",""
"10K","WID SMD 10K 1% 0,05W","R4","RESC0603X26N","24914","1","","01","","10K","24914","0603 (0201)","SMT","Yes","","1%","",""
"33R","WID SMD 33R 1% 0,063W","R5","RESC1005X40N","22770","1","","01","","33","22770","1005 (0402)","SMT","Yes","","1%","",""
"XC7A35T-1CPG236C","XC7A35T-1CPG236C","U1","XC7AxxT-CPG236","26752","1","","01","Yes","","26752","CPG236","SMT","","","","",""
"N25Q016A11E5140F","N25Q016A11E5140F","U2","BGA8C50P4X2_271X196X41B30N","26788","1","","01","Yes","","26788","CSPBGA , XFBGA 8","SMT","Yes","","","",""
"LXDC2HL10A-080","LXDC2HL10A-080","U3","LXDC2HL","26786","1","","","Yes","","26786","","SMT","","","","",""
"Si1143-A11-GMR","Si1143-A11-GMR","U4","QFN50P200X200X75-10N","26318","1","","01","","","26318","QFN10","AMT","","","","",""
"SiT8008AI-73-18S-25.000000E","SiT8008AI-73-18S-25.000000E MEMS Oszillator 25MHz","U5","2016","26674","1","","01","Yes","25M","26674","2.0  x 1.6mm","SMT","Yes","","","","1.8V"
"S34ML01G200GHI000","S34ML01G200GHI000","U6","BGA67C80P10X8_800X650X100B46N","26787","1","","01","Yes","","26787","BGA67","SMT","","","","",""
"LXDC2HL18A-052","LXDC2HL18A-052","U9","LXDC2HL","26785","1","","","Yes","","26785","","SMT","","","","",""
